flyktingar,invandrare,flyktingarna,asyl,uppehållstillstånd,asylsökande,rasism,stanna,medborgare,invandrarverket,diskriminering,flykting,invandrarna,migrationsverket,återvända,medborgarskap,invandring,rasistiska,visum,hemlandet
sen,sånt,nån,sån,dar,nåt,lite,förstås,hall,såna,nånting,nånsin,förresten,nä,nånstans,alltihop,varann,häromdan,allihop,tillbaks
gemensamma,gemensamt,gemensam,enighet,motsättningar,enas,kompromiss,motsättningarna,interna,inbördes,konflikter,eniga,samförstånd,splittring,enhet,ricky,enig,strid,splittrade,klyftan
drag,vann,schack,parti,spelade,fischer,matt,bobby,vit,leder,poäng,partier,svart,förlorade,ställningen,partiet,spel,sköld,remi,fördel
statsminister,palme,statsministern,olof_palme,regeringen,ingvar_carlsson,carl_bildt,socialdemokratiska,erlander,bildt,sten_andersson,tage_erlander,palmes,statsministerns,olof_palmes,valrörelsen,ssu,partiledarna,socialdemokratisk,moderatledaren
möjligt,söka,kunna,snarast,bör,undvika,fort,nödvändigt,skall,göra,ske,angeläget,möjlig,möjligheten,tillträde,nå,göras,tänkas,snabbast,tuppen
kaffe,bröd,mjölk,te,kaffet,socker,kopp,glass,choklad,ägg,smör,mjölken,baka,brödet,dricka,bullar,kakor,mjöl,saft,äta
få,behålla,lyckats,stånd,bukt,malmström,ändring,skaffa,förunnat,konststycket,bekräftad,ständ,begära,malmströms,ograverad,åhgren,propsa,upphävd,specialtillstånd,missför
polen,kommunisterna,kommunistiska,polska,kommunister,solidaritet,warszawa,kommunistpartiet,kommunisternas,kommunistpartiets,polens,polsk,kommunistisk,kommunismen,kommunist,polackerna,polacker,östeuropa,polske,kommunistiskt
a,b,bl,c,hl,aa,priori,aaa,nark,aaaa,llt,nsidor,ftonbladet,boch,vilj,bc,denr,nformat,propos,aoch
isen,is,bergen,kartan,uppe,karta,färden,färd,expedition,expeditionen,trakter,kartor,grönland,fjällen,alaska,vandring,antarktis,fjäll,fjället,väldiga
djur,hund,hundar,hunden,djuren,katt,katten,katter,hundarna,matte,lejon,husse,grisar,bur,djuret,djurens,veterinär,zoo,svansen,husdjur
danska,köpenhamn,danmark,dansk,danske,danskarna,danmarks,hansen,nielsen,jensen,dansken,danskt,ole,poul,köpenhamns,danskar,andersen,jens,jörgensen,larsen
beredd,beredda,förklarat,acceptera,förklarade,redo,diskutera,delta,förhandlingar,förhandla,villig,avstå,villiga,berett,villkor,inleda,accepterar,accepterat,erbjudit,lösning
hittills,pågår,omfattande,gjorts,lett,pågående,nyligen,pågått,ytterligare,processen,fortsatta,samtidigt,framsteg,förberedelser,genomfört,samband,parallellt,resulterat,inletts,pågå
fann,kom,genast,sökte,hittade,upptäckte,platsen,började,tog,visade,upptäckt,upptäcktes,konstaterade,letade,undersökte,denne,anmälde,anade,förde,innehöll
e,g,h,r,a,k,c,lika_med,l,b,j,w,p,s,m,y,o,ee,hj,th
tycks,slags,verkar,åtminstone,snarare,sorts,liknar,tvärtom,möjligen,förblir,förvandlas,antyder,mena,ambitioner,obegripligt,framstår,egendomligt,förmår,förvandla,betrakta
mest,kända,känd,berömda,okända,billy,uppmärksammade,välkända,uppskattade,top,eftertraktade,inflytelserika,berömde,omtalade,omskrivna,personligheter,respekterade,omdiskuterade,non,anlitade
gjort,förklarar,misstag,erkänner,skyldig,medger,erkände,beklagar,erkännande,göra,förnekar,övertygad,upprepas,tillägger,begått,försäkrar,villigt,efterhand,misstaget,insett
samhället,samhälle,sociala,samhällets,social,socialt,trygghet,jämlikhet,individen,värderingar,individer,gemenskap,solidaritet,orättvisor,individ,människorna,människors,individens,enskilde,klyftorna
herrar,dam,damer,herre,herrarna,damen,damerna,ung,fruar,sällskap,förtjusande,diskret,medelålders,häromdagen,damernas,vänlig,gentleman,vänligt,herrn,artigt
vägen,förbi,längs,vägar,väg,hinder,passera,skyltar,vägarna,skylt,smala,utmed,skylten,passerat,passerade,utefter,landsvägen,färdas,smal,röja
står,bakom,inför,tomma,stående,kontrast,buds,redo,proportion,tröskeln,skrivet,önskelista,uppställda,bjärt,maktlös,maktlösa,schemat,önskelistan,ingenstans,gapar
annat,bland,kallade,tina,turner,onassis,kallad,armenien,azerbajdzjan,omstridda,armeniska,ulla_britt,baku,armenier,bondestam,nagorno_karabach,anitha,nestorn,jerevan,tinas
viss,högst,mån,vissa,resp,motsvarande,nämnda,avser,ovan,utsträckning,gräns,försiktighet,lägst,således,utgår,bestämd,huvudsak,därtill,begränsad,fordras
skall,ske,paulsson,valfrid,besluta,förläggas,förses,drivas,behållas,göras,tjänstgöra,tillställas,skali,paulssons,beslutas,bedrivas,skäll,förbinda,skåll,skaij
okunnighet,upprörande,uppträdande,skrämmande,beklämmande,förakt,oförmåga,häpnadsväckande,tonen,likgiltighet,nonchalans,hänsynslöst,okunnig,framstår,okunniga,ovilja,fraser,framstå,fullkomligt,avslöjande
skall,meningen,bestå,omfatta,avsikten,ledas,skötas,utvidgas,innehålla,fortsättas,organiseras,utsträckas,utarbetas,avsättas,utrustas,utgöras,alternera,fordras,utväljas,sammansättas
väntas,planer,planerade,ämnar,planerna,eventuellt,skall,kommande,slutliga,planerat,starta,avsikt,planerad,föreslå,fortsatta,eventuell,tidpunkt,definitiva,tidpunkten,preliminärt
moraliska,moral,moraliskt,plikt,moralisk,ideal,normer,etiska,värderingar,lojalitet,disciplin,rättvisa,auktoritet,moralen,etik,anda,förfall,handlande,handling,förnuft
expressen,ulf,expressens,city,adelsohn,lundell,avslöja,fotnot,nilson,mexico,getingar,sting,marieberg,elfving,lönnqvist,brunnberg,erfarna,geting,kommentar,nycop
åter,igen,tillbaka,gång,snart,vända,nytt,återigen,fd,vänt,återvänder,återvända,återvänt,försvunnit,börjat,dykt,uppehåll,ånyo,nåder,återgår
borde,stället,kunna,finnas,självklart,åtminstone,egentligen,rimligen,räcka,självklarhet,insett,behöva,inse,skämmas,kräva,rimligtvis,fundera,tvärtom,rätteligen,självklar
förmåga,personliga,egenskaper,förmågan,skicklighet,sinne,enastående,begåvning,omdöme,energi,talang,intelligens,ambition,krävande,uttrycka,skicklig,besitter,kombination,läggning,kunnande
unga,ungdomar,ungdom,ungdomarna,ungdomen,ung,ungdomens,tonåringar,nnåringar,ungdomarnas,ungdoms,tonåring,ungdomars,ungas,tonåringarna,skolungdomar,skolor,ungdomliga,fostran,generation
tekniska,utveckling,teknik,teknisk,tekniskt,utvecklingen,tekniker,utrustning,tekniken,avancerade,avancerad,högskolan,ingenjörer,kunnande,teknologi,elektronik,konstruktion,kvalificerade,produktion,utveckla
illa,ren,råkat,råkar,råkade,tillfällighet,slump,råka,luktar,ställt,skandal,behandlade,dold,orättvist,hamna,behandlad,värst,rena,befinna,lukten
jordbruket,jord,bönderna,bönder,jordbruk,livsmedel,jordbrukets,hektar,jorden,skörd,jordbrukare,odla,skörden,vete,bonde,jordbrukarna,bonden,lantbrukare,jordbruksminister,skördar
vill,hellre,bestämmer,bestämma,säga,ändra,ogärna,slippa,poängtera,ensak,riskera,anonym,skylta,uppmana,resandes,haen,velar,vili,vjll,jagvill
trafiken,bron,sl,bussar,trafik,bro,tunnelbanan,buss,slussen,kungsgatan,bussarna,gatukontoret,spårvagn,sveavägen,kollektivtrafiken,tunnelbana,tbanan,hornsgatan,götgatan,gator
mat,äta,maten,kött,äter,laga,recept,middag,köttet,köket,ätit,rätter,serveras,kyckling,grönsaker,kocken,lunch,soppa,måltid,lagar
sista,stund,näst,före,minuten,conny,ögonblicket,biten,säsongens,minuterna,sekunden,levin,skrivande,torstensson,utväg,sachs,avslutning,fasen,kommen,avsked
president,parlamentet,presidenten,premiärminister,regering,avgå,avgång,premiärministern,ministrar,förre,parlament,avgick,makten,nyval,parlamentets,författningen,regeringschef,presidentens,oppositionen,utse
kunna,tillräckligt,behövs,måste,förutsättning,fungera,genomföra,nödvändig,nödvändigt,leda,genomföras,effektivt,tillräcklig,behövas,förutsättningen,nödvändiga,ge,förse,utnyttjas,effektiv
innebär,kräver,krävs,praktiken,leda,innebära,genomföra,total,leder,princip,process,kräva,tvingas,genomför,genomförs,fungera,accepterar,förväntas,därmed,beslutar
gällande,bestämmelser,ändring,gälla,bestämmelserna,tillämpas,vederbörande,särskilda,enlighet,praxis,paragraf,regler,ändringar,skyldighet,föreskrifter,beträffande,bestämmelse,allmänna,kap,ske
bl_a,s_k,vidare,aktuella,samband,omfattande,förutom,flertal,följande,t_o_m,nyligen,omtalar,medverkat,därvid,ingick,diverse,sistnämnda,bakgrunden,nämnas,resulterat
ung,människa,rik,unge,fattig,intelligent,begåvad,figur,blyg,porträtt,bernard,sympatisk,vacker,begåvade,geni,shaw,envis,ambitiös,naiv,drag
södertälje,solna,nacka,lidingö,huddinge,sundbyberg,täby,sollentuna,kommun,norrtälje,nynäshamn,saltsjöbaden,botkyrka,djursholm,sigtuna,danderyd,märsta,tyresö,järfälla,upplands_väsby
ihop,samla,samlat,samlade,hänger,samlar,kanten,blanda,blandar,hör,plocka,blandat,plockat,stötte,hänga,skrapa,sy,rulla,hålla,blandas
domstolen,högsta,domstol,domen,domare,målet,hovrätten,juridiska,domarna,hd,advokat,jurister,utslag,domstolarna,tingsrätten,instans,jurist,domstolens,prövning,svea_hovrätt
schweiz,holland,van,australien,belgien,frankrike,holländska,tyskland,schweiziska,belgiska,amsterdam,england,italien,indonesien,storbritannien,bryssel,västtyskland,nederländerna,luxemburg,haag
varandra,prata,träffas,pratar,varann,tillsammans,varandras,träffar,möts,träffa,träffades,umgås,alexandra,emellan,pratat,kompletterar,mötas,kompisar,känner,pratade
hollywood,los_angeles,skådespelaren,star,jessica,stjärnan,flickvän,sarah,pojkvän,skådespelerskan,kate,madonna,kändisar,jennifer,oliver,kevin,fox,paret,pojkvännen,nicole
anna,lena,ansvarig,lisa,gunilla,niklas,åsa,svd_se,chefredaktör,utgivare,politisk,aftonbladet_se,anders,epost,redaktionschef,tove,karen,klein,chef,vd
förslag,förslaget,föreslår,föreslås,förslagen,föreslagna,föreslagit,proposition,föreslog,propositionen,föreslå,remiss,ändringar,framlagda,framlagt,inrättas,lagrådet,beredningen,betänkande,framlagts
radio,program,radion,radions,pn,sända,programmet,lyssnare,televisionen,radiotjänst,programmen,lyssnarna,radio_och_tv,sänder,radioprogram,höra,sändes,lyssna,bbc,sändningar
grund,följd,ligga,botten,tvingats,bristande,måst,legat,därför,dock,vilar,uppstått,läggas,därav,saknar,inställas,solid,avbrytas,inställa,tvungna
händer,vet,hänt,hända,ingenting,veta,saker,någonting,egentligen,inget,hände,upprörd,orolig,inträffa,någonstans,härnäst,förvånad,reagerar,berätta,underliga
jorden,månen,rymden,jordens,bana,solen,universum,atmosfären,instrument,venus,planeten,stjärnor,hastighet,yta,raket,cape,satelliter,satelliten,höjd,avstånd
dagen,kvällen,därpå,senare,före,härom,innan,timmar,eftermiddagen,endera,middagen,morgonen,sent,förstörd,hela,fre,aret,tors,tis,ons
bär,faller,ansvaret,offer,står,falla,ser,fallit,vänder,skulden,tar,gör,skuld,yttersta,lägger,hän,platt,frestelsen,motstå,varken
dessutom,både,ger,fasta,dubbla,unik,brett,höjer,unika,samtidigt,block,kombinationen,kombinera,breda,generösa,upplagd,spänner,kombinerat,upplagt,kombinerar
general,armen,militära,soldater,civila,militär,argentina,soldaterna,militären,generalen,officerare,trupper,arme,militärer,buenos_aires,trupperna,argentinska,civil,armens,högkvarter
nästan,bara,lika,varenda,överallt,uteslutande,omöjligt,ändå,exakt,vartenda,alltid,oavbrutet,hela,enda,ingenstans,ofattbart,likadant,enorm,malmros,knappt
egna,egen,erfarenheter,andras,initiativ,eget,utifrån,bekostnad,bygger,almqvist,leden,ahlberg,ideer,vägar,byggt,utomstående,syften,funderingar,själva,almqvists
slår,vänder,kastar,ropar,rullar,skriker,hoppar,plötsligt,rusar,lyfter,drar,skjuter,dyker,river,glider,sliter,kliver,svänger,blåser,försvinner
for,af,til,at,et,og,der,skal,å,vil,da,denne,må,fra,seg,ikke,andre,ved,alle,jeg
bromma,vällingby,farsta,centrum,enskede,stockholms,östermalm,stadsdelen,kungsholmen,spånga,hässelby,älvsjö,södermalm,gärdet,skärholmen,söder,tensta,idrottsplats,rinkeby,förorterna
verksamhet,organisation,verksamheten,organisationer,organisationen,organ,bedriver,bedriva,ideella,föreningar,organisationerna,bedrivs,organisera,fristående,organisationens,abf,administration,institutioner,beslutande,organiserade
brittiska,storbritannien,london,sir,wilson,brittisk,lord,brittiske,konservativa,premiärminister,britterna,storbritanniens,churchill,labour,underhuset,premiärministern,harold,brittiskt,eden,macmillan
andra,ena,sidan,halvan,parten,stunden,ändan,riktningen,änden,ingendera,någondera,helan,sidans,tanja,partens,ände,ytterligheten,bala,förfördelade,laurel
bilden,vänster,ses,höger,ovan,längst,syns,tagen,mitten,bakgrunden,t_v,övre,överst,pd,raden,föreställer,t_h,nedre,teckningen,teckning
tyska,tyskland,tyskarna,tysk,hitler,berlin,judar,hitlers,allierade,andra_världskriget,judiska,tyskar,nazistiska,tyskt,tysklands,nazisterna,judarna,nazismen,nazister,tyske
nato,vapen,kärnvapen,militära,sovjet,strategiska,sovjetunionen,europa,militärt,nedrustning,militär,natos,försvar,neutralitet,konventionella,stater,neutrala,krig,västeuropa,atomvapen
visade,gjorde,gav,gjordes,inledde,lyckades,saknade,svarade,överraskande,ställde,bidrog,avslutade,berodde,resulterade,uppträdde,följdes,dominerade,junior,utnyttjade,agerade
kunna,hoppas,få,räknar,behöva,komma,räcka,eventuellt,räkna,prestera,otänkbart,eventuella,ge,härbärgera,krävas,fördubbla,framtiden,garantera,optimistiskt,skulla
gösta,hasse,henry,tage,georg,danielsson,ericson,ekman,simon,uno,löfgren,gunnar,bernhard,siv,folke,knutsson,dahlström,alvar,annalisa,westerlund
dog,död,dött,libyen,döda,grav,anhöriga,sorg,graven,begravning,minne,farväl,begravningen,sorgen,kyrkogården,kistan,kista,döde,kyrkogård,hedra
vann,sekunder,tvåa,segern,trea,loppet,seger,tvåan,femma,etta,täten,ledde,meter,lopp,starten,segrare,ledningen,försprång,marginal,start
grupp,gruppen,grupper,tillhör,består,grupperna,gruppens,medlemmar,leds,tillhöra,bildat,delas,bilda,kategori,ingår,bildats,representerar,bildades,bestående,medlemmarna
hotell,hotellet,hotel,grand,frukost,ombord,restauranger,middag,ingår,hotellrum,njut,utflykter,gäster,nätter,dubbelrum,flyg,hotellets,lunch,inkl,kryssning
lite,känns,grann,nja,annorlunda,tycker,trist,faktiskt,lugnare,konstigt,udda,varstans,roligare,pinsamt,tråkigt,kännas,aning,försiktigt,konstig,rörigt
privata,offentliga,privat,offentlig,sektorn,offentligt,välfärden,sektor,tjänster,välfärd,ekonomi,näringslivet,omsorg,medborgarna,verksamheter,sjukvård,aktörer,enskilda,ägande,sektorns
ar,for,pa,fa,pi,fran,nar,an,gar,aven,dar,da,manga,ga,tva,alia,sager,fatt,si,far
vård,sociala,hemmet,sjuka,socialt,social,boende,barnavårdsnämnden,ålderdomshem,psykiskt,vården,socialtjänsten,tvång,omsorg,hemmen,åldringar,behandling,vårda,socialvården,socialarbetare
försvann,karlskrona,spår,försvunna,försvunnen,försvunnit,helikopter,försvinnande,spaningarna,sökandet,hittades,ubåten,nntiden,spårlöst,ronneby,ubåt,närheten,mystiska,karlshamn,blekinge
landets,största,landet,tillhör,majoriteten,utgör,gränser,viktigaste,främsta,status,minoritet,nyligen,bas,minoriteten,styrande,ledning,samlade,merparten,elit,samtidigt
sätta,sätter,satte,in,gång,igång,stopp,press,prägel,fingret,frågetecken,hjulet,käppar,tvären,fot,sprätt,pricken,gungning,likhetstecken,krokben
överste,kapten,major,värnpliktiga,chefen,överstelöjtnant,löjtnant,svea,befäl,regemente,officer,officerare,översten,reserv,armen,regementet,generalmajor,majoren,kommendör,armens
genom,värde,värdet,bestående,värda,värdefulla,representerar,mängd,därigenom,dyrbara,värdefull,fält,värdefullt,mindre,åtskilliga,tillskott,dyrbar,fulla,tillgång,särskilt
larsson,svensson,maria,rolf,pelle,monica,sjöberg,kalle,samuelsson,lars_erik,lundqvist,larssons,svenssons,zetterlund,alf,santa,lang,sjöbergs,blomkvist,marias
hemliga,dokument,hemlig,säpo,handlingar,avslöja,avslöjade,hemligt,agenter,cia,agent,hemlighet,wennerström,underrättelsetjänsten,säkerhetstjänsten,spioneri,avslöjades,hemligheter,informationer,avslöjas
utom,minsta,enda,mesta,möjliga,möjligen,detalj,åtminstone,största,nämligen,absolut,omöjliga,alltså,räckhåll,tanke,övrigt,liksom,tillåter,över_huvud_taget,enstaka
v,o,t,sök,tj,e,förordn,adj,sthlm,fr,vik,samt,s,bitr,h,eo,g,b,rekt,lekt
avtal,förhandlingarna,förhandlingar,avtalet,uppgörelse,parterna,överenskommelse,uppgörelsen,överenskommelsen,träffats,träffades,förhandla,parter,förhandlare,tvisten,överenskommelser,förhandlar,undertecknades,avtalen,strandade
först,fram,sist,äntligen,ända,knapp,innan,trycka,bara,småningom,hett,trycker,in,slut,gång,lyft,efterlängtade,tryckte,knappen,klick
kalla,kanske,just,ändå,sorts,bara,egentligen,annan,mans,väl,häromdagen,isaksson,typisk,sortens,apropå,åtminstone,naturligtvis,typiskt,låter,lust
brukar,kallas,kallad,heta,kallar,numera,ofta,vanligtvis,populärt,vanligen,består,oftast,ovanligt,sällan,rör,variant,vartannat,ahlström,tillhör,sägs
via,foto,direkt,ap,profil,tillgänglig,bild,beskrivs,privat,meddelar,mejl,kopplade,reuters,skickas,koppling,markeras,bilden,kopplat,titta,scanpix
anledning,följande,därav,meddela,meddelande,meddelar,meddelas,framgår,meddelat,meddelandet,härmed,avsikt,undertecknad,vari,låtit,förfrågan,därvid,anta,sänt,ingått
gav,lät,gjorde,verkade,tycktes,walter,föreföll,höll,förde,visade,skapade,ledde,rörde,syntes,hart,gavs,använde,betydde,ställde,berodde
kriget,krig,fred,andra_världskriget,krigets,freden,första_världskriget,kalla,världskrigets,krigsåren,världskriget,fredens,världskrig,fronten,fredliga,varaktig,allierade,slutskede,ockupation,fienden
gatan,taket,fönster,fönstret,uppför,trappan,fönstren,ovanför,gata,muren,tak,våningen,ner,nedanför,mur,trappa,balkongen,klättrade,porten,klättra
fler,mer,färre,behövs,ökar,många,desto,trenden,trend,locka,leder,ökande,oftare,förhoppningsvis,skaffar,vanligare,alltfler,efterlyser,framöver,sylvester
även,fortsättningen,förutom,fortsättningsvis,släng,aven,sleven,laurell,jayne,representera,mansfield,omfatta,framgent,scientologerna,inkludera,scientologikyrkan,thoreau,framledes,inkluderas,scientologin
stockholms,stad,stockholm,stads,stadshuset,borgarrådet,stockholmarna,stadsfullmäktige,stockholmare,mehr,stadens,hanson,hjalmar,finansborgarrådet,stadshus,innerstad,storstockholm,stadskollegiet,huvudstadens,borgarråd
skall,hållas,upprättas,avgöras,hädanefter,överlämnas,bestämmas,förfara,bestämts,skail,överföras,fastställas,fördelas,förfaras,hällas,underställas,sättas,ekall,överta,nkall
olof,sitt,förste,representant,sekreterare,bl_a,denne,ende,dennes,egenskap,hjalmar,gav,lagercrantz,avslutade,siste,representera,närvarande,talade,närvaro,senare
alt,oeh,cn,liar,lian,lill,ocli,pä,ined,oeli,nian,lör,dc,expressen,atl,lindfors,lt,iir,ocb,elt
situationen,läget,situation,läge,befinner,allvarlig,allvarligt,besvärlig,uppstått,kritiskt,spänt,hamnat,svår,försatt,akut,förvärras,ohållbar,hopplös,uppkomna,stabilt
övriga,samtliga,såväl,utom,endast,ytterligare,dock,förutom,undantag,representerade,beslutat,inblandade,återstående,sammanlagt,närvarande,deltagit,tillhörande,berörda,däribland,sistnämnda
bör,ske,göras,ges,lämpligen,påpekas,tilläggas,prövas,ingå,anser,överväga,lämplig,undvikas,omfatta,begränsas,kompletteras,beaktas,framhållas,övervägas,utformas
beträffande,torde,rörande,sålunda,föreligger,därvid,hänsyn,synes,erhålla,emellertid,avseende,varvid,ansett,framhåller,härvid,böra,härför,gällande,härtill,föreligga
samtidigt,kallade,andra,driver,både,driva,eftersom,drivs,flera,kallad,facit,drivit,stället,sägs,hamnat,startat,drivas,kallats,unikt,privat
sju,åtta,nio,kanada,sex,fem,fyra,sammanlagt,kanadensiska,tre,tio,therese,carin,montreal,kanadas,canada,elva,toronto,atta,ottawa
denne,gamle,vän,unge,store,dennes,gode,vännen,ende,kollega,gammal,onkel,berömde,käre,verklige,forne,glade,herre,skicklige,rival
lt,ti,r,ir,l,ii,or,ch,fi,et,ig,ör,itt,it,fe,ra,len,nt,te,id
döda,drabbade,katastrofen,människor,offer,dödsoffer,överlevande,offren,krävt,skadade,kroppar,hundratals,drabbats,värsta,drabbat,skadats,omkommit,värst,tusentals,dödade
varor,butiker,kunder,kunderna,butiken,kunden,butik,varuhus,butikerna,handla,kund,konsum,varorna,affärerna,konsumenterna,kf,konsumenter,varuhuset,inköp,handeln
f,d,ö,karin,sv,jeanne,boye,karins,arc,ahrland,juel,ör,bojs,sdd,boyes,mt,starrin,ahlborg,sfö,adelsköld
tänkande,intellektuella,filosofi,teori,teorier,intellektuell,vetenskap,analys,logik,filosofiska,filosofen,perspektiv,ideer,tes,tankar,intellektuellt,vetenskapen,tänkare,teoretiska,logiska
utrikesminister,utrikesministern,konferensen,geneve,överläggningar,konferens,delegationen,förhandlingar,samtalen,förhandlingarna,delegation,överläggningarna,möte,amerikanske,samtal,dulles,representanter,gromyko,delegaterna,diskussionerna
årets,tävlingen,juryn,bästa,finalen,tävling,final,pris,globen,tävlar,tävla,robinson,jury,delas,melodifestivalen,vinnaren,idol,arets,laila,avgörs
nntalet,början,slutet,yyyytalet,mitten,nntalets,böljan,decennium,nntalen,byggdes,årtionde,tidiga,seklet,byggde,sextiotalet,nnoch,sjuttiotalet,decennier,femtiotalet,åttiotalet
dag,varannan,charlie,presenterar,chaplin,fjortonde,anna_karin,hjärtans,tukt,chaplins,förmaning,herrans,gustavson,annakarin,charlies,annacarin,geraldine,almlöf,sedlighet,sårande
re,ning,ra,ter,ningen,ligt,nen,na,ningar,kon,rade,ef,rande,tion,liga,terna,ten,ker,ba,ver
lämna,lämnar,lämnat,pass,sitt,tillbaka,frivilligt,kvar,hämta,tvungen,återbud,passet,återvänder,därhän,falskt,oberörd,legitimation,tvungna,avtryck,självmant
karriär,populär,stjärna,lysande,känd,king,stjärnor,framgångsrik,karriären,elvis,popularitet,stjärnorna,genombrott,smart,framgångar,berömd,succe,stjärnan,framgången,kings
turkiet,grekland,grekiska,inbrott,turkiska,aten,tjuvarna,cypern,stulna,stulit,tjuven,stal,stals,istanbul,tjuvar,stjäla,stölden,kuppen,turkiets,stölder
problem,problemet,lösa,lösning,problemen,löst,lösas,löser,lösningen,lösningar,löste,löses,gåtan,lösts,olösta,lösta,akuta,konflikter,brännande,gåta
välja,väljer,alternativ,antingen,valt,alternativet,möjlighet,möjligheten,oavsett,finns,bestämmer,alternativa,avstå,tvingas,bestämma,alternativen,valfrihet,erbjuds,alternativt,avstår
medel,metoder,metod,metoden,effekt,använda,verkan,effektiv,effektivt,effektiva,använder,omedelbar,pröva,användas,effekten,användning,prövat,medlen,använt,metoderna
nummer,tidskriften,artiklar,numret,redaktör,artikel,tidskrift,innehåller,forum,publicerade,tidningen,tidning,presenteras,skriver,presenterar,publicerats,publicerat,innehållet,publicerar,journal
börjar,slutar,börja,fortsätter,börjat,snart,fundera,böljar,sluta,närma,likna,undra,dags,röra,slutat,smått,rulla,märkas,övergår,allvaret
ämnet,ämne,behandlar,redogörelse,framställning,ingående,björk,behandlas,kapitel,upplysning,utförligt,framställningen,översikt,aktuella,beskrivning,analys,sammanfattning,innehållet,saklig,synpunkter
exempel,skillnad,skillnaden,skiljer,finns,jämför,jämföra,nämner,exempelvis,beror,skillnader,skillnaderna,typiskt,andra,slående,exemplen,jämförelser,jämförelsen,nämns,sätt
t_ex,etc,s_k,dvs,osv,gäller,t_o_m,typ,o_s_v,sk,alltså,vissa,liknande,likaså,speciella,enbart,p_g_a,sysslar,menas,d_v_s
gjorde,richard,bosse,succe,nnåring,back,debut,högberg,taylor,comeback,debuterade,come,spelade,paus,strålande,livs,stewart,keith,ron,inhopp
visa,visar,sätt,tydligt,exempel,samtidigt,både,erfarenheten,valt,synas,duger,presenterar,förebild,lis,presentera,robban,tydlig,verkliga,nöjer,motsatsen
sjukdomen,aids,sjuka,virus,drabbats,feber,sjukdom,bakterier,sprids,sjukdomar,smittade,vaccin,smittan,dödsfall,hiv,antibiotika,influensa,smitta,förkylning,insjuknade
magen,tillfälligt,snabbt,tillfälliga,tillfällig,hjälper,mage,väskan,väska,fickan,sur,besvär,bom,ask,tag,sura,milt,väskor,packa,bagaget
historia,historien,berätta,sanningen,sanning,berättelse,sanna,historier,sann,berättas,berättelser,berättar,ljuger,lögn,förflutna,berättelsen,sant,ljuga,myt,lögner
innan,länge,förrän,hann,dröjer,dröja,dröjde,hunnit,tidigast,tidsfråga,avvakta,dessförinnan,knappt,fullborda,dröjsmålet,sekunderna,förflyta,irman,påtänkt,hager
gott,ont,humör,väl,rykte,dåligt,samvete,goda,tröst,sonja,ryktet,omdöme,smått,klen,strålande,anseende,nyttigt,överdrivet,betyg,god
hård,leder,konkurrens,konkurrensen,slåss,kamp,möta,hårdare,konkurrera,branschen,tuff,andra,konkurrenter,villkor,kämpar,därmed,monopol,konkurrent,konkurrerar,konkurrerande
tas,sker,ges,genom,anspråk,ske,bruk,tagits,förs,innebär,vidare,flyttas,automatiskt,sätts,bekostnad,placeras,skett,eventuella,hämtas,nypa
banan,köra,kör,ronnie,förare,grand,formel,körde,monte,start,starten,kört,carlo,varv,peterson,förarna,körs,bana,prix,reine
spanien,spanska,el,madrid,mexiko,san,jose,juan,la,carlos,barcelona,don,franco,spansk,salvador,las,spaniens,los,mexikanska,antonio
idag,finns,fungerar,exempel,istället,leder,hamnar,styr,fungera,styra,dessutom,viktigaste,handlar,styrs,oavsett,behöver,förväntas,gör,saknas,hantera
ska,britt,philipson,mogård,bestämma,ekland,hallqvist,wilkens,aje,britts,arenander,mogårds,hallqvists,peruzzi,eklands,öronmärkas,bka,arenanders,bathina,lidne
sverige,utomlands,anette,utlandet,hemlandet,land,lindeberg,föregångsland,bosätta,sverigebilden,konungariket,världsbäst,anettes,västland,lindebergs,välfärdsland,välfärdslandet,sverigebild,drömlandet,verige
bättre,betydligt,sämre,snabbare,effektivare,utgångsläge,vetande,lönar,rustade,jämnare,lugnare,presterar,passat,stabilare,förbättras,trevligare,smartare,tryggare,mira,förbättrat
väg,in,gå,bit,därifrån,passera,passerat,utanför,passerar,plötsligt,stycke,passerade,fram,vincent,framme,hämta,vandra,någonstans,stoppades,banade
tidigt,arbetade,föddes,växte,flyttade,började,stadium,bodde,studerade,byggde,startade,småningom,drev,levde,ägnade,träffade,gifte,återvände,närmaste,lärde
hand,första,egen,caroline,tu,robin,skaka,hjälpande,varsam,skakat,utsträckt,robins,stjernberg,carolines,togs,hougner,varlig,pod,sentals,ringskog
undan,lyckades,fly,flydde,flykt,försökte,olofsson,jakten,jakt,clark,flykten,slapp,gömma,flyr,jagade,flytt,panik,smita,vild,gömt
sett,stort,relativt,generellt,ytligt,förut,historiskt,densamma,desamma,upplagda,utåt,vivi,procentuellt,skymten,mörkertalet,statistiskt,publikt,proportionellt,nödsakad,djupast
större,delen,betydligt,största,utsträckning,övervägande,moget,svårighet,mångdubbelt,svängrum,bredare,gyllenberg,ojämförligt,evakarin,helhet,omfång,flerdubbelt,mångfaldigt,störe,proportionsvis
anders,bo,eva,kent,klas,ralf,hedberg,edström,dahlgren,björck,carlberg,hellberg,strömstedt,widerberg,rikard,anneli,ferm,thunborg,asp,wahl
olja,bensin,liter,oljan,ok,gas,bränsle,kol,fat,bensinen,gasen,shell,esso,bp,kubikmeter,tank,tanka,diesel,flytande,kbm
